"","filename_median","cluster_median","date_median","tubename_median","X_median","FSC.A_median","SSC.A_median","FITC.A_median","PerCP.A_median","PE.A_median","PE.CF594.A_median","PE.Cy5.A_median","PE.Cy7.A_median","APC.A_median","Alexa.Fluor.700.A_median","APC.Cy7.A_median","BV421.A_median","BV510.A_median","BV605.A_median","BV650.A_median","BV711.A_median","BV786.A_median","BUV.395.A_median","BUV661.A_median","BUV737.A_median","pred.flexclust_median","event_median","filename_rCV","cluster_rCV","date_rCV","tubename_rCV","X_rCV","FSC.A_rCV","SSC.A_rCV","FITC.A_rCV","PerCP.A_rCV","PE.A_rCV","PE.CF594.A_rCV","PE.Cy5.A_rCV","PE.Cy7.A_rCV","APC.A_rCV","Alexa.Fluor.700.A_rCV","APC.Cy7.A_rCV","BV421.A_rCV","BV510.A_rCV","BV605.A_rCV","BV650.A_rCV","BV711.A_rCV","BV786.A_rCV","BUV.395.A_rCV","BUV661.A_rCV","BUV737.A_rCV","pred.flexclust_rCV","event_rCV"
"1","Specimen_001_20191022 after CST_001.csv","1","22-OCT-2019","20191022 after CST",2497.5,28714.80078125,24386.0244140625,302.100006103516,354.349990844726,711.735015869141,364.665008544922,540.960021972656,511.980010986328,1044.55499267578,151.059997558594,687.654998779297,658.050018310547,288.639984130859,249.279991149903,245.179992675781,280.440002441406,223.039993286133,1512,120.42000579834,160.920013427734,1,"after CST","Specimen_001_20191022 after CST_001.csv","1","22-OCT-2019","20191022 after CST",67.1074694694695,6.23893644617072,3.06277988973657,62.4213801137524,101.118685111067,30.5706587849405,63.5451934344843,74.980276748321,41.5327089204993,20.7526995076954,34.0659340104331,49.7701143691901,88.1642439107914,51.5160115741391,175.822365848762,105.351169320349,74.4657010674623,112.256012003884,18.5480501439332,301.801835197484,202.800458537858,0,"after CST"
"2","Specimen_001_20191022 after CST_001.csv","2","22-OCT-2019","20191022 after CST",2601,152400.40625,55623.92578125,2013.5249633789,2320.37487792968,2666.50500488282,1812.97497558593,2740.3349609375,2248.02001953125,4237.56494140625,655.700012207031,2956.4599609375,3766.26000976562,2173,1430.48999023438,4230.7900390625,3605.53991699218,1488.29998779297,11004.66015625,1550.34002685547,1488.78002929688,2,"after CST","Specimen_001_20191022 after CST_001.csv","2","22-OCT-2019","20191022 after CST",67.4283064206075,2.50298906017106,16.088025095288,18.3945980403578,32.6457968604169,16.5189138220919,24.060279115299,22.5559678894536,20.5338836313206,14.546740655938,18.2198401813499,22.8311890115,21.5476526942002,12.959876728365,46.1413987998881,18.1788304858656,16.3150674064092,33.6569431561044,19.2032698128066,44.6269989629448,43.9424773857776,0,"after CST"
"3","Specimen_001_20191022 after CST_001.csv","3","22-OCT-2019","20191022 after CST",2423.5,152244,55423.474609375,75915.921875,72982.80078125,75201.375,79070.89453125,85084.93359375,86118.5546875,75785.63671875,21751.39453125,106280.66796875,48839.609375,64098.16796875,47799.029296875,75423.19140625,82846.23828125,86769.52734375,91180.0859375,33775.380859375,46016.1015625,3,"after CST","Specimen_001_20191022 after CST_001.csv","3","22-OCT-2019","20191022 after CST",69.9521229626573,2.4868796810137,18.7757463322439,18.1205610333924,17.9760010120107,18.5169197304197,18.537242637133,15.1864884600833,13.0056797946145,13.5463223443303,14.312583609492,14.5574476304652,15.7803592039152,13.9639829525403,14.7915721680246,9.16113742990917,6.60264795658486,8.07440283907635,23.2639638893704,17.9815288040042,19.5794706514924,0,"after CST"
"4","Specimen_001_20191022 after CST_001_001.csv","1","22-OCT-2019","20191022 after CST_001",2567,27054.33984375,23358.599609375,271.699981689453,300.199981689453,724.27001953125,362.470001220703,519.25,485.080017089844,1022.55999755859,138.610000610352,605.899963378906,674.039978027344,289.459991455078,283.720001220703,244.360000610352,254.199996948242,205,1486.080078125,142.560012817383,151.200012207031,1,"after CST_","Specimen_001_20191022 after CST_001_001.csv","1","22-OCT-2019","20191022 after CST_001",65.4465835605766,9.5008139911125,7.62470154736741,72.2027989799019,121.521906209296,34.7380573398593,68.5767136912007,81.551354613435,58.9804391635864,26.0153556409857,51.4970037797452,68.4944126063444,93.7359106210806,58.4985859288722,161.276990023704,114.765094748924,83.0674817364238,113.603678675954,28.3430205336503,267.434676845185,202.503279618095,0,"after CST_"
"5","Specimen_001_20191022 after CST_001_001.csv","2","22-OCT-2019","20191022 after CST_001",2503,144633.203125,53745.7734375,1928.5,2188.32495117187,2861.57006835938,1905.14501953125,2826.39514160157,2257.56506347657,4207.68505859375,629.969970703125,2748.544921875,3715.82995605468,2174.22998046875,1408.75994873047,4187.73974609375,3616.60998535157,1416.14001464844,11200.6806640625,1576.26007080078,1505.52001953125,2,"after CST_","Specimen_001_20191022 after CST_001_001.csv","2","22-OCT-2019","20191022 after CST_001",67.8896184578506,2.93380694969224,14.2531525509491,17.8751164475455,32.1546557715568,15.3510213645757,22.4340508970747,21.2183153093166,19.252998650966,14.1506047284435,16.4690389740644,23.550200368359,22.2162578208158,12.5777849243053,45.9310100708704,18.1426959242422,15.6847794476096,34.9477337499405,14.164454482616,44.6075604635275,42.6373689944717,0,"after CST_"
"6","Specimen_001_20191022 after CST_001_001.csv","3","22-OCT-2019","20191022 after CST_001",2423,144601.609375,53566.69921875,73682,69844,79065.359375,82687.3828125,86795.1484375,86338.2109375,74425.265625,20916,100829.2265625,48548.09765625,63840.28125,47522.28125,75280.921875,82016.3984375,84791.28125,93361.6875,35050.3203125,47030.76171875,3,"after CST_","Specimen_001_20191022 after CST_001_001.csv","3","22-OCT-2019","20191022 after CST_001",71.3538175815105,3.05258127854084,17.0199030633173,15.9333528923278,14.8705776612433,15.8039332866025,16.3368179093224,12.5592625559879,9.94582575918053,11.6447276913901,12.1287038313223,12.1962874882585,14.7815285147711,12.7960382269913,11.5969511669855,7.34953353885519,6.19152684690819,7.51816221707641,20.4675387287478,16.112457842419,17.9296281979672,0,"after CST_"
"7","Specimen_001_20191101_001.csv","1","01-NOV-2019","20191101",2465,27345.8515625,23369.048828125,269.799987792969,244.149993896484,708.190002441406,332.320007324219,488.430023193359,454.930023193359,988.529968261719,129.479995727539,522.899963378906,787.200012207031,324.720001220703,348.5,209.919998168945,220.580001831055,166.459991455078,1543.32006835938,162,139.320007324219,1,"","Specimen_001_20191101_001.csv","1","01-NOV-2019","20191101",67.6795537525355,32.8755451780992,38.5743658675467,75.6550027904695,139.8288723289,54.9195842707718,79.1330680523978,89.1167595999658,72.9543700140947,49.7968615179915,67.6282066673886,87.3587671057341,112.039641030403,75.8132348848848,160.875385282453,135.492269080519,99.204535047976,147.330353569243,46.6579267018949,247.240150884935,225.193796029911,0,""
"8","Specimen_001_20191101_001.csv","2","01-NOV-2019","20191101",2483.5,146170.1484375,54513.373046875,1925.65002441406,2090.94995117188,2988.53515625,1965.44506835938,2834.77001953125,2311.5,4287.77978515625,627.47998046875,2742.31982421875,3881.88000488282,2203.34008789062,1477.64001464844,4118.03979492188,3552.23999023438,1431.30999755859,11538.720703125,1651.86010742188,1569.78009033203,2,"","Specimen_001_20191101_001.csv","2","01-NOV-2019","20191101",69.2396537145158,3.4189709172941,16.2093117535989,19.1748912641423,35.4859626067089,13.866158430983,22.0451968091773,21.9981577901646,20.0315236936284,14.207886729672,16.5343920490491,24.1124444342162,23.6426231683345,14.1858974885651,47.7827984726672,19.5574490897906,16.6711878494637,34.9121554440674,17.3378026164451,44.0909394900458,44.8288635366771,0,""
"9","Specimen_001_20191101_001.csv","3","01-NOV-2019","20191101",2580,146501.546875,54222.19921875,73007.5,65031.30078125,83235.4453125,85650.7890625,87780.0546875,83821.0234375,75188.0390625,20103.4296875,95449.171875,49316.44140625,64900.5390625,48820.33984375,75052.9609375,80624.0390625,81829.4375,95441.765625,36330.12109375,47023.203125,3,"","Specimen_001_20191101_001.csv","3","01-NOV-2019","20191101",67.9052713178294,2.92667502764209,14.9910198940514,15.6738995137486,14.8579324151176,15.4219103433718,16.1145256524472,12.022494752732,10.4143096185874,11.9217387988386,12.4326510673902,12.3482821927312,14.9777000555009,12.8961515270542,13.0142232117489,7.02213305833307,5.68919974530704,7.52581680950697,20.417938196279,15.6254713101248,17.457672924105,0,""
"10","Specimen_001_20191104_001.csv","1","04-NOV-2019","20191104",2486.5,25658.015625,21289.5,236.550003051758,191.899993896484,503.170013427734,234.5,334.330017089844,211.050003051758,794.724975585938,69.7200012207031,284.690002441406,757.679992675781,302.579986572266,332.919982910156,190.240005493164,177.119995117188,123,1257.11999511719,159.84001159668,110.700004577637,1,"","Specimen_001_20191104_001.csv","1","04-NOV-2019","20191104",69.3525718881963,39.8753880212187,53.5516615523867,100.602404470338,184.877085466437,82.0905464621729,121.40787562474,133.361894468727,148.571435207481,71.4259428831522,127.976185021021,159.030856995203,181.627092559851,145.928421011658,210.092582056558,161.41199362121,128.46104790805,193.618368592301,63.7436324452868,272.280977473145,287.80487855307,0,""
